Destination,Condition,Month,Temperature,Festival,Holiday Season,Popularity Index
Bengaluru,Clear,January,18.5,Yes,Yes,61
Udaipur,Clear,January,24.9,Yes,Yes,61
Jodhpur,Clear,January,24.8,Yes,Yes,46
Ooty,Clouds,January,3.4,Yes,Yes,48
Madurai,Rain,January,21.5,Yes,Yes,59
Agra,Fog,January,17.4,Yes,Yes,61
Ayodhya,Clear,January,21.5,Yes,Yes,65
Jaipur,Rain,January,9.3,Yes,Yes,54
Jaipur,Fog,February,23.9,No,No,50
Mysuru,Fog,January,11.3,Yes,Yes,70
Jaipur,Rain,March,19,Yes,No,56
Prayagraj,Clear,January,12.8,Yes,Yes,61
Kanyakumari,Rain,January,5.1,Yes,Yes,63
Madurai,Rain,February,20.8,No,No,50
Delhi,Heavy Rain,January,16.8,Yes,Yes,69
Kolkata,Clear,January,19.9,Yes,Yes,68
Ooty,Clear,February,5,No,No,43
Somnath,Clear,January,9.1,Yes,Yes,44
Hampi,Clouds,January,6,Yes,Yes,65
Ooty,Clear,March,7.5,Yes,No,55
Kanyakumari,Clouds,February,15.7,No,No,60
Delhi,Clouds,February,17.7,No,No,60
Kodaikanal,Clear,January,13.1,Yes,Yes,51
Chennai,Rain,January,22.8,Yes,Yes,54
Amritsar,Heavy Rain,January,24.1,Yes,Yes,66
Ayodhya,Rain,February,24.3,No,No,55
Thiruvananthapuram,Clouds,January,15.6,Yes,Yes,42
Lucknow,Clear,January,24.7,Yes,Yes,57
Goa,Rain,January,10.8,Yes,Yes,70
Mathura & Vrindavan,Clear,January,9.9,Yes,Yes,60
Mumbai,Fog,January,10.7,Yes,Yes,38
Lucknow,Rain,February,20.6,No,No,47
Srinagar,Clouds,January,3.4,Yes,Yes,54
Srinagar,Clouds,February,4.1,No,No,48
Hampi,Clouds,February,20.2,No,No,64
Udaipur,Clear,February,17.8,No,No,51
Kolkata,Clouds,February,10.2,No,No,52
Dharamshala,Clear,January,14.9,Yes,Yes,52
Vaishno Devi (Katra),Clouds,January,17.8,Yes,Yes,62
Pune,Clear,January,23.8,Yes,Yes,67
Kolkata,Fog,March,20.7,Yes,No,64
