Destination,Temperature_C,Condition,Wind_Speed_kmph,Safety
Bengaluru,33.3,Clear,33.8,Safe
Udaipur,20.1,Clear,31.8,Safe
Jodhpur,27.6,Clear,66.3,Moderate
Ooty,13.3,Cloudy,9.1,Safe
Madurai,28.5,Rain,29.7,Safe
Agra,14.6,Fog,39.6,Moderate
Ayodhya,39.2,Clear,16.6,Safe
Jaipur,30.0,Rain,44.3,Moderate
Jaipur,23.9,Fog,22.8,Safe
Mysuru,26.7,Fog,9.7,Safe
Jaipur,27.6,Rain,7.3,Safe
Prayagraj,10.1,Clear,28.8,Safe
Kanyakumari,33.5,Rain,18.5,Safe
Madurai,32.6,Rain,7.5,Safe
Delhi,11.6,Heavy Rain,43.1,Moderate
Kolkata,19.9,Clear,23.7,Safe
Ooty,13.9,Clear,19.0,Safe
Somnath,34.8,Clear,16.2,Safe
Hampi,14.6,Cloudy,10.9,Safe
Ooty,25.0,Clear,17.6,Safe
Kanyakumari,28.5,Cloudy,58.0,Moderate
Delhi,15.3,Cloudy,26.7,Safe
Kodaikanal,23.3,Clear,10.7,Safe
Chennai,32.1,Rain,26.8,Safe
Amritsar,11.5,Heavy Rain,26.7,Moderate
Ayodhya,28.2,Rain,6.4,Safe
Thiruvananthapuram,22.8,Cloudy,24.7,Safe
Lucknow,35.7,Clear,32.4,Safe
Goa,34.4,Rain,40.9,Moderate
Mathura & Vrindavan,32.6,Clear,19.3,Safe
Mumbai,34.2,Fog,36.6,Moderate
Lucknow,25.0,Rain,37.2,Moderate
Srinagar,3.1,Cloudy,39.6,Safe
Srinagar,-0.9,Cloudy,8.5,Safe
Hampi,19.3,Cloudy,10.6,Safe
Udaipur,15.9,Clear,17.1,Safe
Kolkata,12.9,Cloudy,44.3,Safe
Dharamshala,6.3,Clear,32.7,Safe
Vaishno Devi (Katra),10.7,Cloudy,33.8,Safe
Pune,26.2,Clear,21.1,Safe
Kolkata,27.7,Fog,35.7,Moderate
Shimla,-1.6,Clear,10.7,Safe
Varanasi,25.3,Clear,6.9,Safe
Varanasi,35.8,Cloudy,7.0,Safe
Rameswaram,34.3,Clear,5.1,Safe
Alleppey,31.4,Clear,28.2,Safe
Kochi,23.7,Clear,45.7,Safe
Goa,23.0,Clear,29.9,Safe
Ahmedabad,23.6,Clear,25.2,Safe
Jodhpur,21.7,Clear,23.4,Safe
Goa,28.2,Clear,59.1,Moderate
Goa,25.3,Clear,26.4,Safe
