Destination,Condition,Hotel_Rating,Price
Bengaluru,Clear,2,4060
Udaipur,Clear,5,5840
Jodhpur,Clear,1,2470
Ooty,Clouds,2,2890
Madurai,Rain,3,2420
Agra,Fog,3,3440
Ayodhya,Clear,3,2540
Jaipur,Rain,4,4750
Jaipur,Fog,5,5850
Mysuru,Fog,2,1760
Jaipur,Rain,5,6800
Prayagraj,Clear,1,1900
Kanyakumari,Rain,5,3630
Madurai,Rain,2,2030
Delhi,Heavy Rain,4,6610
Kolkata,Clear,4,5700
Ooty,Clear,2,2850
Somnath,Clear,5,4010
Hampi,Clouds,5,5610
Ooty,Clear,2,2810
Kanyakumari,Clouds,4,2770
Delhi,Clouds,2,4540
Kodaikanal,Clear,5,5490
Chennai,Rain,1,4210
Amritsar,Heavy Rain,4,5380
Ayodhya,Rain,4,3400
Thiruvananthapuram,Clouds,1,1590
Lucknow,Clear,5,3420
Goa,Rain,1,3220
Mathura & Vrindavan,Clear,2,1910
Mumbai,Fog,1,1550
Lucknow,Rain,2,2120
Srinagar,Clouds,2,2030
Srinagar,Clouds,2,1810
Hampi,Clouds,2,3530
Udaipur,Clear,5,5470
Kolkata,Clouds,1,3640
Dharamshala,Clear,4,2460
Vaishno Devi (Katra),Clouds,3,2160
Pune,Clear,2,1910
Kolkata,Fog,4,5690
Shimla,Clear,3,2020
Varanasi,Clear,4,2670
Varanasi,Clouds,3,1990
Rameswaram,Clear,2,1800
Alleppey,Clear,1,1470
Kochi,Clear,4,2550
Goa,Clear,3,3670
Ahmedabad,Clear,3,1920
Jodhpur,Clear,3,3460
Goa,Clear,3,3670
Goa,Clear,2,3070
Jaipur,Rain,4,5180
Pushkar,Clear,4,2540
Kodaikanal,Clear,4,3970
Delhi,Clear,4,5810
Kodaikanal,Rain,3,3520
Agra,Clouds,3,3500
Mysuru,Clouds,3,2240
Udaipur,Clear,5,5950
Nashik,Clear,3,2040
Dharamshala,Heavy Snow,4,2520
Manali,Rain,3,3920
Munnar,Clouds,5,5140
Varanasi,Clear,5,3220
Jodhpur,Clear,1,2640
Somnath,Rain,2,2360
Shirdi,Clear,1,1720
Darjeeling,Fog,1,1570
Amritsar,Clear,4,4410
Mumbai,Clouds,5,3240
Varanasi,Clear,2,1780
Prayagraj,Clear,5,4140
Prayagraj,Clouds,3,2720
Ooty,Clear,1,2380
Aurangabad,Clear,1,1580
Madurai,Clear,1,1460
Pushkar,Clear,3,1990
Udaipur,Rain,5,6540
Kochi,Clouds,1,1610
Somnath,Rain,4,3590
Ahmedabad,Clear,3,2150
Shimla,Fog,1,1510
Mysuru,Storm,3,2380
Delhi,Rain,1,4440
Vijayawada,Storm,5,3840
Madurai,Fog,4,2510
Chennai,Clouds,1,3740
Amritsar,Clear,2,3230
Munnar,Rain,3,3970
Shimla,Rain,5,3790
Mathura & Vrindavan,Clear,1,1480
Agra,Clear,2,3350
Tirupati,Clear,5,3760
Mathura & Vrindavan,Storm,2,2320
Amritsar,Clear,1,2720
Ajmer,Rain,5,6830
Statue of Unity (Kevadia),Fog,5,3180
Lucknow,Rain,4,2740
Varanasi,Clouds,4,2500
Bengaluru,Clear,5,7120
